type,item_num,sentence
T. rex's Tiny Arms,1,Tyrannosaurus rex is one of the most famous dinosaurs ever.
T. rex's Tiny Arms,2,"For such a huge, powerful hunter, it had surprisingly tiny arms."
T. rex's Tiny Arms,3,T-rex was about 40 feet long and could weigh as much as 9 tons.
T. rex's Tiny Arms,4,Its arms were only about 3 feet long.
T. rex's Tiny Arms,5,"With arms that short, it couldn't even reach its own mouth."
T. rex's Tiny Arms,6,Why would such a fierce predator have arms that seem almost useless?
T. rex's Tiny Arms,7,Scientists have known for decades that T-rex isn't the only dinosaur like this.
T. rex's Tiny Arms,8,Fossils from several other dinosaur families show the same pattern.
T. rex's Tiny Arms,9,"They too had tiny arms, giant bodies, and huge heads with powerful jaws."
T. rex's Tiny Arms,10,"These groups were only distantly related, yet these same features evolved independently multiple times."
T. rex's Tiny Arms,11,What could have driven dinosaurs to separately develop small arms so many times?
T. rex's Tiny Arms,12,"To understand why, scientists measured skull sizes alongside arm sizes across many different species."
T. rex's Tiny Arms,13,A clear pattern emerged.
T. rex's Tiny Arms,14,"Where skulls grew bigger and more robust, the arms tended to get shorter and the overall body size increased."
T. rex's Tiny Arms,15,"One idea is that as the prey animals got bigger and tougher, a powerful bite became more and more important."
T. rex's Tiny Arms,16,"Over millions of years, skulls grew larger and jaws grew more powerful."
T. rex's Tiny Arms,17,"As the skull became the main tool for catching prey, the arms were no longer needed."
T. rex's Tiny Arms,18,"Growing large arms takes energy, so gradually the arms got smaller and smaller."
T. rex's Tiny Arms,19,Not all dinosaurs followed this path.
T. rex's Tiny Arms,20,Plant-eating dinosaurs kept their smaller heads and longer arms.
T. rex's Tiny Arms,21,So did dinosaurs that hunted in different ways.
T. rex's Tiny Arms,22,"T-rex's tiny arms may look strange, but they weren't a flaw."
T. rex's Tiny Arms,23,"By that point, T-rex's jaws had simply taken over the job."
T. rex's Tiny Arms,24,The tiny arms were a consequence of the skull becoming T-rex's main weapon.
T. rex's Tiny Arms,25,It was becoming one of the most powerful predators on Earth.
Whale Culture,26,Humpback whales are known for their complex songs and exciting jumps out of the water.
Whale Culture,27,They are also some of the most creative hunters in the ocean.
Whale Culture,28,"These whales use bubbles to trap and catch fish, in a hunting technique called bubble net feeding."
Whale Culture,29,Here's how it works.
Whale Culture,30,A whale dives below a school of fish.
Whale Culture,31,"It swims in a slow upward spiral, blowing air through its blowhole."
Whale Culture,32,The bubbles rise to the surface and form a curtain.
Whale Culture,33,"It is like a net made of air, and the fish trapped inside can't escape."
Whale Culture,34,Then the whale lunges up through the middle with its mouth open wide.
Whale Culture,35,It swallows an enormous mouthful of fish in one gulp.
Whale Culture,36,"Some humpback whales do this alone, but others hunt in teams."
Whale Culture,37,"When they work together, they take on different roles."
Whale Culture,38,"Some whales produce the bubbles, and others herd the fish toward the center."
Whale Culture,39,Some even make loud calls that may help herd the fish tighter.
Whale Culture,40,"Each whale has a role, and the whole team has to coordinate for the hunt to succeed."
Whale Culture,41,"Scientists tracked hundreds of individual humpback whales in British Columbia, Canada, over twenty years."
Whale Culture,42,Humpback whales have distinctive tail markings which scientists used to tell individual whales apart.
Whale Culture,43,The scientists tracked which whales spent time together.
Whale Culture,44,They also noted which whales knew how to bubble net feed and when they fed alone or together.
Whale Culture,45,They found strong evidence that the bubble net technique spreads through social contact.
Whale Culture,46,Whales that spent more time together were far more likely to both use it.
Whale Culture,47,This suggests that bubble net feeding is not something whales are born knowing or that they invent on their own.
Whale Culture,48,It is a skill that is learned by watching and copying other whales.
Whale Culture,49,This is similar to how you might learn how to cook by watching family members in the kitchen.
practice,50,The cat sat on the mat.
practice,51,The dog barked at a squirrel.
practice,52,The bunny rabbit nibbled a carrot.
